label,referenceUrl,url
Home page,https://rtmedia.io/,https://rtmedia-dev.rtm.rt.gw/
Plugin page,https://rtmedia.io/products/category/plugins/,https://rtmedia-dev.rtm.rt.gw/products/category/plugins/
